T_K,Q_Ar,Q_Ar_p,Q_Ar2_p,Q_Ar3_p,Q_Ar4_p,Q_e
27500.000000,4.5554209594117703e+00,6.0199812820873424e+00,1.1385118823253539e+01,8.3012880583393454e+00,1.0742466228514704e+01,2.0000000000000000e+00
27700.000000,4.7239557687989251e+00,6.0315680311405906e+00,1.1404918845647012e+01,8.3423884420546646e+00,1.0765519368895051e+01,2.0000000000000000e+00
27900.000000,4.8979149995361757e+00,6.0436828011908279e+00,1.1424705091138392e+01,8.3833665642283250e+00,1.0788495898123818e+01,2.0000000000000000e+00
28100.000000,5.0773745387233049e+00,6.0563457836603174e+00,1.1444482984794469e+01,8.4242237541135854e+00,1.0811398833614135e+01,2.0000000000000000e+00
28300.000000,5.2624088048278246e+00,6.0695775424761802e+00,1.1464257962442378e+01,8.4649614068809651e+00,1.0834231142697156e+01,2.0000000000000000e+00
28500.000000,5.4530907200892704e+00,6.0833990096334993e+00,1.1484035469800560e+01,8.5055809806034208e+00,1.0856995743251792e+01,2.0000000000000000e+00
28700.000000,5.6494916851118546e+00,6.0978314804215819e+00,1.1503820961595466e+01,8.5460839933427941e+00,1.0879695504331412e+01,2.0000000000000000e+00
28900.000000,5.8516815555960182e+00,6.1128966083224432e+00,1.1523619900665709e+01,8.5864720203338862e+00,1.0902333246787334e+01,2.0000000000000000e+00
29100.000000,6.0597286211589694e+00,6.1286163995917615e+00,1.1543437757054217e+01,8.6267466912628610e+00,1.0924911743889330e+01,2.0000000000000000e+00
29300.000000,6.2736995861915208e+00,6.1450132075322479e+00,1.1563280007089709e+01,8.6669096876368688e+00,1.0947433721942959e+01,2.0000000000000000e+00
29500.000000,6.4936595526982179e+00,6.1621097264703453e+00,1.1583152132458606e+01,8.7069627402415453e+00,1.0969901860903480e+01,2.0000000000000000e+00
29700.000000,6.7196720050662480e+00,6.1799289854466961e+00,1.1603059619268238e+01,8.7469076266834946e+00,1.0992318794986678e+01,2.0000000000000000e+00
29900.000000,6.9517987967076751e+00,6.1984943416314637e+00,1.1623007957102452e+01,8.7867461690149682e+00,1.1014687113276088e+01,2.0000000000000000e+00
30000.000000,7.0701739501010961e+00,6.2080641933354768e+00,1.1632999161365435e+01,8.8066261421170307e+00,1.1025853838394532e+01,2.0000000000000000e+00
